,Symbol,Name,Industry,Name_of_war,change_a1,change_a2,change_a3,change_b1,change_b2,avg.change,index_d1,index_d2,index_d3
0,AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",킹스톤불안,-0.019999999999999574,0.20999999999999908,-0.20999999999999908,0.33999999999999986,-0.15000000000000036,0.08999999999999986,-22.22222222222178,233.3333333333327,-233.3333333333327
1,MSFT,Microsoft Corp,소프트웨어 및 IT서비스,킹스톤불안,-0.5800000000000018,0.4200000000000017,-1.2199999999999989,0.21000000000000085,-0.5399999999999991,-0.06199999999999974,935.4838709677488,-677.4193548387152,1967.7419354838771
2,AMZN,Amazon.com Inc,다양한 소매업,킹스톤불안,-0.44999999999998863,6.319999999999993,-1.8400000000000034,4.829999999999998,-2.930000000000007,1.1099999999999994,-40.54054054053954,569.3693693693691,-165.76576576576616
3,GOOGL,Alphabet Inc Class A,소프트웨어 및 IT서비스,킹스톤불안,-1.789999999999992,4.469999999999999,-3.3000000000000114,1.490000000000009,-5.030000000000001,-0.6339999999999975,282.3343848580441,-705.04731861199,520.5047318612026
4,NVDA,NVIDIA Corp,반도체 및 반도체 장비,킹스톤불안,-0.33000000000000007,0.7199999999999989,-0.4499999999999993,0.6300000000000008,0.07000000000000028,0.1980000000000004,-166.66666666666637,363.6363636363623,-227.27272727272646
5,INTC,Intel Corp,반도체 및 반도체 장비,킹스톤불안,-0.2799999999999976,0.7300000000000004,-0.40000000000000213,0.5,-0.23000000000000043,0.1280000000000001,-218.74999999999793,570.3124999999998,-312.50000000000136
6,ASML,ASML Holding NV ADR,반도체 및 반도체 장비,킹스톤불안,-0.35999999999999943,1.009999999999998,-0.389999999999997,1.1700000000000017,0.4299999999999997,0.18400000000000105,-195.65217391304205,548.9130434782567,-211.95652173912762
7,CMCSA,Comcast Corp Class A,미디어 및 출판,킹스톤불안,-0.120000000000001,1.2100000000000009,-0.0400000000000027,0.5800000000000018,-0.4800000000000004,0.20400000000000135,-58.82352941176481,593.1372549019572,-19.607843137256094
8,NFLX,Netflix Inc,소프트웨어 및 IT서비스,킹스톤불안,0.03999999999999915,1.0700000000000003,-0.379999999999999,1.1500000000000004,-0.25,0.4879999999999999,8.196721311475237,219.26229508196732,-77.86885245901621
9,ADBE,Adobe Inc,소프트웨어 및 IT서비스,킹스톤불안,-0.19000000000000128,0.8000000000000007,-0.7099999999999973,1.0300000000000011,-0.4600000000000044,0.22200000000000272,-85.58558558558511,360.36036036035625,-319.8198198198147
10,CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,킹스톤불안,-0.0799999999999983,0.5799999999999983,-0.6699999999999982,0.7899999999999991,-0.25,0.1740000000000002,-45.97701149425184,333.33333333333195,-385.05747126436626
11,PEP,PepsiCo Inc,음료,킹스톤불안,0.22999999999999687,0.9600000000000009,-1.8300000000000054,0.36999999999999744,-1.3700000000000045,0.1460000000000008,157.53424657533947,657.5342465753395,-1253.4246575342434
12,AVGO,Broadcom Inc,반도체 및 반도체 장비,킹스톤불안,-0.35999999999999943,0.23000000000000043,0.46000000000000085,-0.08999999999999986,0.33000000000000185,-0.05000000000000071,719.9999999999886,-459.99999999999426,-919.9999999999885
13,TXN,Texas Instruments Inc,반도체 및 반도체 장비,킹스톤불안,-0.21000000000000085,0.7799999999999976,-0.3999999999999986,0.6799999999999997,0.120000000000001,0.19799999999999968,-106.06060606060666,393.93939393939337,-202.02020202020162
