,Symbol,Name,Industry,Name_of_war,change_a1,change_a2,change_a3,change_b1,change_b2,avg.change,index_d1,index_d2,index_d3
0,AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",영원한자유작전-트랜스사하라,-0.010000000000000231,0.06000000000000005,0.03000000000000025,-0.009999999999999787,0.029999999999999805,-0.013999999999999879,71.42857142857369,-428.57142857143265,-214.28571428571792
1,MSFT,Microsoft Corp,소프트웨어 및 IT서비스,영원한자유작전-트랜스사하라,-0.0799999999999983,-0.2699999999999996,0.020000000000003126,-0.35999999999999943,-0.629999999999999,-0.1280000000000001,62.499999999998614,210.93749999999946,-15.625000000002428
2,AMZN,Amazon.com Inc,다양한 소매업,영원한자유작전-트랜스사하라,1.0700000000000003,0.4899999999999949,0.14999999999999858,-0.09000000000000341,0.1600000000000037,0.20999999999999802,509.52380952381446,233.3333333333331,71.42857142857143
3,GOOGL,Alphabet Inc Class A,소프트웨어 및 IT서비스,영원한자유작전-트랜스사하라,1.6899999999999977,-2.0,1.490000000000009,-5.1699999999999875,-0.5600000000000023,-3.963999999999993,-42.63370332996975,50.45408678102935,-37.5882946518671
4,NVDA,NVIDIA Corp,반도체 및 반도체 장비,영원한자유작전-트랜스사하라,0.28000000000000114,0.6899999999999977,0.05000000000000071,0.25,0.4200000000000017,0.2460000000000008,113.8211382113822,280.4878048780469,20.325203252032743
5,INTC,Intel Corp,반도체 및 반도체 장비,영원한자유작전-트랜스사하라,-0.060000000000002274,0.13000000000000256,0.05999999999999872,0.060000000000002274,0.08999999999999986,0.018000000000000682,-333.33333333333337,722.2222222222091,333.3333333333136
6,ASML,ASML Holding NV ADR,반도체 및 반도체 장비,영원한자유작전-트랜스사하라,-0.05999999999999872,0.2699999999999996,0.22000000000000242,0.09000000000000341,0.23000000000000043,0.12800000000000153,-46.87499999999844,210.93749999999716,171.87499999999986
7,CMCSA,Comcast Corp Class A,미디어 및 출판,영원한자유작전-트랜스사하라,-0.23000000000000043,0.060000000000002274,-0.7800000000000011,-0.22999999999999687,0.030000000000001137,-0.14799999999999897,155.40540540540678,-40.54054054054236,527.0270270270314
8,NFLX,Netflix Inc,소프트웨어 및 IT서비스,영원한자유작전-트랜스사하라,-0.020000000000000018,0.08999999999999986,0.040000000000000036,-0.06000000000000005,0.009999999999999787,-0.016000000000000104,124.99999999999929,-562.4999999999955,-249.99999999999858
9,ADBE,Adobe Inc,소프트웨어 및 IT서비스,영원한자유작전-트랜스사하라,-0.6199999999999974,-0.5,-0.13000000000000256,-0.6000000000000014,-0.0799999999999983,-0.3800000000000011,163.15789473684094,131.57894736842067,34.21052631579005
10,CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,영원한자유작전-트랜스사하라,-0.46999999999999886,-0.5300000000000011,0.240000000000002,0.08999999999999986,0.23000000000000043,0.09799999999999968,-479.59183673469425,-540.8163265306151,244.89795918367628
11,PEP,PepsiCo Inc,음료,영원한자유작전-트랜스사하라,-0.45000000000000284,0.09999999999999432,0.060000000000002274,-0.1700000000000017,0.39000000000000057,0.11799999999999784,-381.3559322033992,84.74576271186113,50.84745762712149
12,TXN,Texas Instruments Inc,반도체 및 반도체 장비,영원한자유작전-트랜스사하라,-0.3200000000000003,0.03999999999999915,0.17999999999999972,0.0799999999999983,-0.14999999999999858,0.07200000000000059,-444.44444444444116,55.555555555553916,249.99999999999756
13,TSM,Taiwan Semiconductor Manufacturing Co Ltd ADR,반도체 및 반도체 장비,영원한자유작전-트랜스사하라,-0.02999999999999936,0.17999999999999972,-0.05000000000000071,0.009999999999999787,-0.14000000000000057,0.0620000000000001,-48.38709677419244,290.3225806451604,-80.6451612903236
14,JPM,JPMorgan Chase & Co,은행,영원한자유작전-트랜스사하라,0.14999999999999858,0.36999999999999744,-0.13000000000000256,0.14999999999999858,-0.28999999999999915,0.37799999999999867,39.68253968253945,97.88359788359755,-34.39153439153519
15,JNJ,Johnson & Johnson,제약,영원한자유작전-트랜스사하라,-0.39000000000000057,-0.20000000000000284,0.0,-0.0799999999999983,-0.4200000000000017,0.14000000000000057,-278.5714285714279,-142.8571428571443,0.0
16,WMT,Walmart Inc,식품 및 약품소매,영원한자유작전-트랜스사하라,-0.030000000000001137,0.18999999999999773,-0.04999999999999716,0.0800000000000054,0.3299999999999983,0.090000000000002,-33.33333333333386,211.11111111110392,-55.55555555555116
17,MA,Mastercard Inc Class A,소프트웨어 및 IT서비스,영원한자유작전-트랜스사하라,-0.019999999999999574,0.1399999999999988,0.27000000000000135,-0.02000000000000135,-0.15000000000000036,0.01799999999999926,-111.11111111111332,777.7777777778031,1500.0000000000693
18,UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,영원한자유작전-트랜스사하라,-0.8099999999999952,-0.14000000000000057,-0.03999999999999915,0.37999999999999545,0.05999999999999517,0.24799999999999614,-326.6129032258096,-56.45161290322691,-16.129032258064424
19,PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",영원한자유작전-트랜스사하라,-0.5600000000000023,-0.3399999999999892,0.480000000000004,0.030000000000001137,-0.23999999999999488,0.21000000000000227,-266.66666666666487,-161.90476190475502,228.571428571428
