,Symbol,Name,Industry,Name_of_war,change_a1,change_a2,change_a3,change_b1,change_b2,avg.change,index_d1,index_d2,index_d3
0,AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",예멘의 Houthi 반란,0.010000000000000009,0.0,0.010000000000000009,0.0,0.0,-0.0020000000000000018,-500.0,-0.0,-500.0
1,MSFT,Microsoft Corp,소프트웨어 및 IT서비스,예멘의 Houthi 반란,0.46000000000000085,-0.3100000000000023,0.0799999999999983,-0.16000000000000014,-0.36999999999999744,-0.06199999999999974,-741.9354838709722,500.0000000000058,-129.0322580645139
2,AMZN,Amazon.com Inc,다양한 소매업,예멘의 Houthi 반란,1.75,-2.4199999999999946,0.46999999999999886,-1.5700000000000003,0.05000000000000426,-0.7679999999999992,-227.86458333333357,315.1041666666663,-61.19791666666657
3,NVDA,NVIDIA Corp,반도체 및 반도체 장비,예멘의 Houthi 반란,-0.009999999999999787,-0.34999999999999964,-0.009999999999999787,-0.20000000000000018,-0.33000000000000007,-0.16600000000000037,6.024096385542027,210.84337349397524,6.024096385542027
4,INTC,Intel Corp,반도체 및 반도체 장비,예멘의 Houthi 반란,0.2699999999999996,-0.6499999999999986,0.10999999999999943,-0.2699999999999996,-0.75,-0.13199999999999862,-204.54545454545635,492.4242424242465,-83.33333333333377
5,ASML,ASML Holding NV ADR,반도체 및 반도체 장비,예멘의 Houthi 반란,0.2699999999999996,-0.7800000000000011,-0.21000000000000085,0.05000000000000071,-0.7100000000000009,0.1240000000000002,217.7419354838703,-629.0322580645161,-169.35483870967784
6,CMCSA,Comcast Corp Class A,미디어 및 출판,예멘의 Houthi 반란,0.370000000000001,-0.28000000000000114,-0.3000000000000007,-0.26000000000000156,-0.33999999999999986,0.01599999999999895,2312.5000000001583,-1750.0000000001223,-1875.0000000001276
7,NFLX,Netflix Inc,소프트웨어 및 IT서비스,예멘의 Houthi 반란,0.1200000000000001,-0.2599999999999998,-0.05000000000000071,-0.2600000000000007,0.05999999999999961,-0.13600000000000012,-88.23529411764706,191.17647058823496,36.76470588235343
8,ADBE,Adobe Inc,소프트웨어 및 IT서비스,예멘의 Houthi 반란,0.21999999999999886,-0.3299999999999983,0.33999999999999986,0.10999999999999943,-0.6600000000000001,0.18999999999999986,115.78947368421002,-173.684210526315,178.9473684210527
9,CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,예멘의 Houthi 반란,0.3099999999999987,-0.8599999999999994,0.10999999999999943,-0.23999999999999844,-0.370000000000001,-0.2879999999999988,-107.63888888888889,298.6111111111121,-38.1944444444444
10,PEP,PepsiCo Inc,음료,예멘의 Houthi 반란,0.36999999999999744,-0.740000000000002,0.6700000000000017,-0.3100000000000023,-0.09999999999999432,0.013999999999998635,2642.8571428573823,-5285.714285714816,4785.714285714765
11,TXN,Texas Instruments Inc,반도체 및 반도체 장비,예멘의 Houthi 반란,0.75,-1.129999999999999,-0.03999999999999915,-0.3299999999999983,-1.1500000000000021,-0.26199999999999973,-286.2595419847331,431.29770992366423,15.267175572518774
12,TSM,Taiwan Semiconductor Manufacturing Co Ltd ADR,반도체 및 반도체 장비,예멘의 Houthi 반란,0.15000000000000036,-0.2699999999999996,0.10999999999999943,0.009999999999999787,-0.10000000000000142,0.020000000000000285,749.9999999999911,-1349.9999999999786,549.9999999999893
13,JPM,JPMorgan Chase & Co,은행,예멘의 Houthi 반란,0.10999999999999943,-0.8800000000000026,-0.8599999999999994,0.23999999999999488,-0.5700000000000003,-0.2219999999999999,-49.54954954954932,396.39639639639773,387.3873873873873
14,JNJ,Johnson & Johnson,제약,예멘의 Houthi 반란,0.14999999999999858,-0.5799999999999983,0.6300000000000026,-0.5399999999999991,1.5400000000000063,-0.003999999999997783,-3750.0000000020427,14500.000000007994,-15750.000000008793
15,WMT,Walmart Inc,식품 및 약품소매,예멘의 Houthi 반란,0.36999999999999744,-0.3999999999999986,1.1499999999999986,0.23999999999999488,0.35999999999999943,0.20600000000000024,179.61165048543543,-194.1747572815525,558.2524271844646
16,UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,예멘의 Houthi 반란,-0.0899999999999963,-0.6599999999999966,0.5000000000000036,0.7000000000000028,-0.31999999999999673,0.23200000000000215,-38.79310344827391,-284.48275862068556,215.51724137930987
17,PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",예멘의 Houthi 반란,-0.2600000000000051,-0.7100000000000009,-0.27999999999999403,-0.3500000000000014,0.07000000000000028,-0.15600000000000164,166.66666666666822,455.12820512820093,179.4871794871738
