,Symbol,Name,Industry,Name_of_war,change_a1,change_a2,change_a3,change_b1,change_b2,avg.change,index_d1,index_d2,index_d3
0,AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",이란-PJAK충돌,0.0,-0.010000000000000009,0.020000000000000018,-0.020000000000000018,0.0,-0.0040000000000000036,-0.0,250.0,-500.0
1,MSFT,Microsoft Corp,소프트웨어 및 IT서비스,이란-PJAK충돌,0.129999999999999,0.38000000000000256,0.14999999999999858,-0.26000000000000156,0.00999999999999801,0.011999999999999744,1083.333333333348,3166.6666666667556,1250.000000000015
2,AMZN,Amazon.com Inc,다양한 소매업,이란-PJAK충돌,1.3000000000000043,0.22000000000000597,1.2899999999999991,-0.5700000000000003,1.0899999999999963,0.2460000000000008,528.4552845528456,89.43089430894521,524.390243902437
3,NVDA,NVIDIA Corp,반도체 및 반도체 장비,이란-PJAK충돌,-0.2599999999999998,-0.0600000000000005,0.35999999999999943,0.040000000000000924,0.3100000000000005,0.13800000000000043,-188.40579710144854,-43.478260869565446,260.86956521739006
4,INTC,Intel Corp,반도체 및 반도체 장비,이란-PJAK충돌,0.00999999999999801,0.10000000000000142,0.28000000000000114,-0.22000000000000242,0.05999999999999872,0.035999999999999234,27.777777777772844,277.7777777777876,777.7777777777975
5,ASML,ASML Holding NV ADR,반도체 및 반도체 장비,이란-PJAK충돌,0.3100000000000023,0.34999999999999787,0.2700000000000031,-0.16999999999999815,0.21000000000000085,0.07400000000000091,418.9189189189168,472.97297297296427,364.8648648648646
6,CMCSA,Comcast Corp Class A,미디어 및 출판,이란-PJAK충돌,0.3099999999999987,-0.33999999999999986,0.46000000000000085,-0.259999999999998,0.04999999999999716,0.020000000000000285,1549.9999999999716,-1699.9999999999752,2299.999999999972
7,NFLX,Netflix Inc,소프트웨어 및 IT서비스,이란-PJAK충돌,-0.11000000000000032,-0.13999999999999968,0.08999999999999986,-0.05999999999999961,0.15000000000000036,0.0620000000000001,-177.41935483870992,-225.80645161290235,145.1612903225802
8,ADBE,Adobe Inc,소프트웨어 및 IT서비스,이란-PJAK충돌,0.41000000000000014,-0.010000000000001563,0.23000000000000043,-0.22000000000000242,-0.05000000000000071,-0.010000000000000852,-4099.999999999652,100.0000000000071,-2299.999999999808
9,CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,이란-PJAK충돌,0.05999999999999872,0.259999999999998,0.5199999999999996,-0.370000000000001,0.21000000000000085,-0.006000000000000227,-999.9999999999409,-4333.333333333136,-8666.666666666331
