,Symbol,Name,Industry,Name_of_war,change_a1,change_a2,change_a3,change_b1,change_b2,avg.change,index_d1,index_d2,index_d3
0,AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",영원한자유작전-필리핀,0.010000000000000009,-0.010000000000000009,0.010000000000000009,0.0,0.0,-0.005999999999999983,-166.66666666666728,166.66666666666728,-166.66666666666728
1,MSFT,Microsoft Corp,소프트웨어 및 IT서비스,영원한자유작전-필리핀,0.44000000000000483,-0.480000000000004,0.6599999999999966,0.0799999999999983,-0.46000000000000085,0.0799999999999983,550.0000000000177,-600.0000000000177,825.0000000000133
2,AMZN,Amazon.com Inc,다양한 소매업,영원한자유작전-필리핀,-0.05000000000000071,-0.879999999999999,-0.08000000000000007,-0.6900000000000013,0.0,-0.570000000000001,8.771929824561514,154.38596491228026,14.035087719298234
3,NVDA,NVIDIA Corp,반도체 및 반도체 장비,영원한자유작전-필리핀,1.0300000000000011,-0.5500000000000007,0.03999999999999915,-1.0599999999999987,-1.120000000000001,-0.5719999999999998,-180.06993006993034,96.1538461538463,-6.993006993006847
4,INTC,Intel Corp,반도체 및 반도체 장비,영원한자유작전-필리핀,-0.259999999999998,-0.25,0.480000000000004,0.5400000000000063,-0.2700000000000031,-0.011999999999999034,2166.6666666668243,2083.333333333501,-4000.000000000355
5,ASML,ASML Holding NV ADR,반도체 및 반도체 장비,영원한자유작전-필리핀,-0.030000000000001137,-0.379999999999999,0.08999999999999986,-0.38000000000000256,-0.2900000000000027,-0.21200000000000116,14.150943396226873,179.24528301886647,-42.452830188678945
6,CMCSA,Comcast Corp Class A,미디어 및 출판,영원한자유작전-필리핀,-0.030000000000001137,-0.07000000000000028,-0.14000000000000057,-0.379999999999999,0.0799999999999983,0.020000000000000285,-150.00000000000355,-349.9999999999965,-699.999999999993
7,ADBE,Adobe Inc,소프트웨어 및 IT서비스,영원한자유작전-필리핀,0.39000000000000057,-0.33999999999999986,0.25,-0.05999999999999872,-0.21000000000000085,-0.03799999999999883,-1026.3157894737174,894.7368421052902,-657.8947368421254
8,CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,영원한자유작전-필리핀,-0.07000000000000028,-0.4399999999999977,0.25,-0.2900000000000027,-0.34999999999999787,-0.08800000000000167,79.54545454545335,499.99999999998795,-284.09090909090366
9,PEP,PepsiCo Inc,음료,영원한자유작전-필리핀,0.01999999999999602,-0.11999999999999744,0.11999999999999744,-0.3299999999999983,-0.12999999999999545,-0.16599999999999965,-12.048192771081965,72.28915662650464,-72.28915662650464
10,TXN,Texas Instruments Inc,반도체 및 반도체 장비,영원한자유작전-필리핀,-0.8000000000000007,0.2099999999999973,0.4499999999999993,-0.07000000000000028,-0.46000000000000085,-0.48599999999999993,164.60905349794254,-43.209876543209326,-92.59259259259245
11,TSM,Taiwan Semiconductor Manufacturing Co Ltd ADR,반도체 및 반도체 장비,영원한자유작전-필리핀,-0.14000000000000057,-0.1899999999999995,0.23000000000000043,-0.22000000000000064,0.09000000000000163,-0.1320000000000004,106.06060606060616,143.9393939393931,-174.24242424242405
12,JPM,JPMorgan Chase & Co,은행,영원한자유작전-필리핀,0.5599999999999952,-0.990000000000002,-0.14999999999999858,-0.3399999999999963,-0.9099999999999966,-0.09599999999999795,-583.3333333333408,1031.250000000024,156.25000000000188
13,JNJ,Johnson & Johnson,제약,영원한자유작전-필리핀,0.03999999999999915,0.23999999999999488,0.25,0.240000000000002,0.14999999999999858,0.29200000000000015,13.698630136986004,82.19178082191601,85.61643835616434
14,WMT,Walmart Inc,식품 및 약품소매,영원한자유작전-필리핀,1.1099999999999994,-0.8799999999999955,0.9099999999999966,-0.03999999999999915,-0.8500000000000014,-0.015999999999998238,-6937.50000000076,5500.0000000005775,-5687.500000000606
15,UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,영원한자유작전-필리핀,0.010000000000001563,-0.019999999999999574,-0.10999999999999943,0.17999999999999972,0.28000000000000114,0.15399999999999991,6.493506493507511,-12.987012987012717,-71.4285714285711
16,PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",영원한자유작전-필리핀,0.5500000000000043,0.1699999999999946,0.10000000000000142,0.519999999999996,-0.23999999999999488,0.2039999999999992,269.60784313725804,83.33333333333101,49.01960784313814
17,DIS,Walt Disney Co,미디어 및 출판,영원한자유작전-필리핀,0.030000000000001137,-0.9699999999999989,0.38000000000000256,-0.19000000000000128,0.019999999999999574,-0.3640000000000015,-8.24175824175852,266.4835164835151,-104.39560439560466
18,BAC,Bank of America Corp,은행,영원한자유작전-필리핀,0.33000000000000185,0.09999999999999787,0.03999999999999915,-0.08999999999999986,-0.6700000000000017,-0.1440000000000005,-229.1666666666672,-69.44444444444274,-27.77777777777709
19,HD,Home Depot Inc,전문품 상점,영원한자유작전-필리핀,0.1700000000000017,-0.5599999999999952,-0.9500000000000028,-0.9299999999999997,-0.0899999999999963,-0.5920000000000002,-28.716216216216495,94.59459459459374,160.4729729729734
20,VZ,Verizon Communications Inc,통신 서비스,영원한자유작전-필리핀,0.0,-0.6699999999999946,0.36999999999999744,0.5399999999999991,0.3500000000000014,0.30399999999999777,0.0,-220.3947368421051,121.71052631578951
21,XOM,Exxon Mobil Corp,오일 및 가스,영원한자유작전-필리핀,0.4099999999999966,-0.5,0.020000000000003126,0.03999999999999915,-0.8900000000000006,-0.06599999999999966,-621.2121212121192,757.5757575757615,-30.3030303030352
22,KO,Coca-Cola Co,음료,영원한자유작전-필리핀,-0.1999999999999993,-0.21000000000000085,0.3200000000000003,-0.25,0.16999999999999815,-0.15799999999999984,126.58227848101234,132.91139240506396,-202.53164556962068
23,T,AT&T Inc,통신 서비스,영원한자유작전-필리핀,-0.030000000000001137,-0.490000000000002,-0.19999999999999574,0.12999999999999545,-0.7700000000000031,-0.13600000000000137,22.05882352941238,360.2941176470567,147.05882352940716
24,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,영원한자유작전-필리핀,-0.11999999999999744,-0.240000000000002,0.6499999999999986,-0.3400000000000034,-0.28999999999999915,-0.3160000000000025,37.97468354430269,75.94936708860762,-205.6962025316435
25,ABT,Abbott Laboratories,헬스케어 장비 및 용품,영원한자유작전-필리핀,-0.21000000000000085,0.35999999999999943,0.40000000000000213,-0.04999999999999716,0.33000000000000185,-0.04199999999999946,500.0000000000084,-857.1428571428667,-952.3809523809696
26,NKE,Nike Inc Class B,섬유 및 의류,영원한자유작전-필리핀,0.1299999999999999,-0.1299999999999999,0.1299999999999999,-0.08999999999999986,-0.1299999999999999,-0.013999999999999879,-928.571428571436,928.571428571436,-928.571428571436
27,CVX,Chevron Corp,오일 및 가스,영원한자유작전-필리핀,0.480000000000004,-0.4200000000000017,-0.269999999999996,-0.00999999999999801,-0.75,0.02400000000000091,1999.9999999999407,-1749.9999999999407,-1124.9999999999409
28,ORCL,Oracle Corp,소프트웨어 및 IT서비스,영원한자유작전-필리핀,0.509999999999998,-0.07000000000000028,0.28999999999999915,0.3200000000000003,-0.4200000000000017,0.2940000000000008,173.46938775510088,-23.80952380952384,98.63945578231235
29,PFE,Pfizer Inc,제약,영원한자유작전-필리핀,-0.490000000000002,-0.47000000000000597,-0.6499999999999986,-0.12999999999999545,-0.6499999999999986,0.08200000000000215,-597.5609756097429,-573.1707317073093,-792.6829268292457
30,MRK,Merck & Co Inc,제약,영원한자유작전-필리핀,-0.7999999999999972,-0.5899999999999963,0.4100000000000037,-0.240000000000002,-0.5899999999999963,0.14799999999999897,-540.5405405405423,-398.64864864864893,277.02702702703147
31,NVS,Novartis AG ADR,제약,영원한자유작전-필리핀,-0.0799999999999983,-0.17999999999999972,0.259999999999998,-0.29999999999999716,0.05000000000000071,-0.16399999999999865,48.78048780487741,109.75609756097636,-158.53658536585377
32,ACN,Accenture PLC Class A,소프트웨어 및 IT서비스,영원한자유작전-필리핀,0.39000000000000057,0.5799999999999983,0.0,-0.6600000000000001,-1.1300000000000026,-0.01799999999999997,-2166.6666666666733,-3222.222222222218,-0.0
33,TMO,Thermo Fisher Scientific Inc,헬스케어 장비 및 용품,영원한자유작전-필리핀,-0.0799999999999983,-0.48999999999999844,0.1999999999999993,0.21999999999999886,-0.030000000000001137,-0.17600000000000052,45.45454545454435,278.4090909090892,-113.63636363636289
34,LLY,Eli Lilly and Co,제약,영원한자유작전-필리핀,-0.5400000000000063,-0.9399999999999977,-0.769999999999996,0.5999999999999943,-1.1499999999999915,0.25999999999999945,-207.69230769231055,-361.53846153846143,-296.1538461538452
35,MCD,Mcdonald's Corp,호텔 및 엔터테인먼트,영원한자유작전-필리핀,-0.3500000000000014,-0.3200000000000003,0.15000000000000213,-0.5,-0.5399999999999991,-0.2800000000000004,125.00000000000033,114.2857142857142,-53.57142857142926
36,DHR,Danaher Corp,헬스케어 장비 및 용품,영원한자유작전-필리핀,-0.7899999999999991,-0.33999999999999986,0.08999999999999986,-0.20000000000000107,0.2699999999999996,-0.1,789.9999999999991,339.9999999999999,-89.99999999999986
